id;source_type;mc_campaingn_id;tml_campaign_id;icon;color;create_date;create_uid;last_update;last_update_uid
1;hacking;digital;auxiliary tools;withdrawal olive;purple;2022-04-19T04:18:46;secured salmon;2022-04-18T17:35:31;payment synergi
2;end-to-end;Carolina Strate;optical Savings;Unbranded Rapids;gold;2022-04-18T22:21:41;Shoes deliverab;2022-04-18T19:46:08;copying bluetoo
3;Supervisor adapter;panel exuding G;Louisiana;Account Enhanced connecting;indigo;2022-04-18T23:52:56;Soft Functional;2022-04-18T16:09:45;Kids demand-dri
4;Shoes Vista;Hat payment;Chad Developer;out-of-the-box seize Metal;cyan;2022-04-18T17:31:50;Guyana infrastr;2022-04-18T20:57:04;bus Nevada
5;Sleek;Account program;interactive abi;schemas;olive;2022-04-19T08:28:02;Games;2022-04-18T23:54:02;invoice AI Faso
6;THX;reboot;Tools;Trail Accountability;red;2022-04-18T19:08:42;Views;2022-04-19T08:06:49;Kuwait Regional
7;recontextualize Shir;line;Movies;Guadeloupe;teal;2022-04-19T14:57:35;Ports Sausages;2022-04-19T14:44:04;invoice lime Me
8;interface;open-source Mar;ROI;optical Incredible Planner;orange;2022-04-19T10:07:58;IB;2022-04-19T10:51:18;back-end magnet
9;feed Chicken;Refined Mountai;mission-critica;Bike SQL;sky blue;2022-04-19T06:20:38;platforms Assis;2022-04-19T12:33:27;Street
10;Markets transmitting;dynamic Pass Ci;synthesize wire;Pa'anga Marketing Salad;sky blue;2022-04-18T21:12:34;Tactics Sausage;2022-04-19T12:56:32;e-tailers exper
