id;source_type;mc_campaingn_id;tml_campaign_id;icon;color;create_date;create_uid;last_update;last_update_uid
1;Maine;open-source;synthesizing op;Grove York Intelligent;orange;2022-04-18T19:21:20;Lock;2022-04-19T10:28:46;Books
2;Adaptive Metal Borde;Ports Licensed ;Swaziland out-o;Chief;gold;2022-04-19T14:23:28;Soap Granite Ca;2022-04-18T17:20:37;Moldovan THX ge
3;payment;real-time;Locks;users quantify connecting;sky blue;2022-04-19T09:05:28;Cambridgeshire ;2022-04-19T00:31:35;Frozen
4;ability;Missouri Person;Home Account e-;5th;gold;2022-04-18T22:36:36;bypassing invoi;2022-04-18T19:32:27;Greenland
5;Steel District firew;Markets reconte;Lead global for;matrix e-commerce Licensed;purple;2022-04-18T20:38:53;compressing;2022-04-19T07:50:02;Junction fuchsi
6;Bedfordshire program;bandwidth;deposit Face In;partnerships;yellow;2022-04-18T21:45:03;Chair Garden;2022-04-18T21:15:04;incubate
7;attitude-oriented ey;override;Direct Auto;models Mississippi;mint green;2022-04-18T20:17:54;Bedfordshire di;2022-04-19T10:57:57;bus Outdoors dr
8;payment Nuevo Accoun;purple;Rand;didactic Organized;indigo;2022-04-18T17:29:08;driver Chips Pe;2022-04-18T16:13:48;Central
9;state Agent Metrics;policy;Credit transiti;optical;lime;2022-04-19T13:29:39;Vermont Account;2022-04-19T14:00:47;deposit overrid
10;Unbranded Renminbi;Buckinghamshire;reboot navigate;application cyan;lime;2022-04-18T19:38:03;applications;2022-04-19T15:03:00;Optional SAS Fa
