id;name;mc_user_id;address;lat;lng;status;create_date;create_uid;last_update;last_update_uid
1;revolutionize program;Small deposit;COM;initiatives;Plastic;true;2022-04-19T02:03:41;capacitor virtu;2022-04-19T01:51:25;Soap Proactive
2;Ball bypassing;Handcrafted;dynamic Creative;Romania Avon generat;Communications Robus;true;2022-04-18T19:55:14;neural;2022-04-18T19:45:42;initiatives cro
3;Tasty fresh-thinking;Forge neural in;Tunnel;Pizza Borders Fresh;Village Towels navig;true;2022-04-19T05:36:50;connecting Saus;2022-04-19T12:49:32;Avon
4;Denar;white infrastru;Fantastic Executive;hacking;Sausages application;true;2022-04-19T14:22:30;teal Gorgeous;2022-04-19T00:52:42;monitor program
5;Dynamic engage indigo;Web Loan Street;system;Franc online Practic;Tasty;false;2022-04-18T21:04:39;Mount;2022-04-19T08:25:29;Shirt Pants
6;support invoice Greenland;HDD SAS web-rea;withdrawal;maximize Synergistic;withdrawal;true;2022-04-19T09:58:33;innovative;2022-04-19T06:04:35;experiences Cam
7;drive Fresh;Norfolk Metrics;salmon;cross-platform progr;adapter Grocery Oper;false;2022-04-19T03:01:42;Credit input;2022-04-18T21:37:47;Sleek up
8;Avon;Borders Solomon;Checking;Cyprus;Fresh;false;2022-04-18T19:36:19;Refined;2022-04-19T05:01:07;Lempira compres
9;generate Chips Re-contextualized;Shoes multi-sta;Ergonomic deploy Cambridgeshire;Wooden;Ergonomic TCP;true;2022-04-19T10:02:59;Central;2022-04-19T10:46:45;salmon Books Fu
10;override District quantify;back-end;static Practical;Garden;Incredible;false;2022-04-18T19:36:37;invoice Handcra;2022-04-19T14:52:39;driver withdraw
